"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-10,2026-04-03,"Cold Leads | Website | Free Trial",inactive,"7-day click, 1-day view or 1-day engaged view",2,actions:offsite_conversion.fb_pixel_initiate_checkout,6270,1.825678,435.875,70,Daily,871.75,Ongoing,11447,76.155325,429,,2.032051,3.747707,486,4.245654,1.793724,151,5.773179
2026-03-10,2026-04-03,"ProjectPro | Leads | Website Lead | US | 1AS | v1",active,"7-day click, 1-day view or 1-day engaged view",2,actions:offsite_conversion.fb_pixel_lead,5009,1.376522,250.02,70,Daily,500.04,Ongoing,6895,72.522117,106,,4.717358,1.537346,150,2.175489,3.3336,68,7.353529
