"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-27,2026-04-03,"Ad 02 | Competitor in the Plans",active,"7-day click, 1-day view or 1-day engaged view",,,29,1.137931,,"Using campaign budget",0,1.63,Ongoing,-,-,-,33,49.393939,2,,0.815,6.060606,2,6.060606,0.815,1,1.63
2026-03-27,2026-04-03,"Ad 01 | Waiting for Bid Invites – Copy",active,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_lead,1870,1.57861,277.95,"Using campaign budget",0,277.95,Ongoing,-,-,-,2952,94.156504,31,,8.966129,1.050136,66,2.235772,4.211364,26,10.690385
2026-03-27,2026-04-03,"Ad 03 | Not Selling Discounting",active,"7-day click, 1-day view or 1-day engaged view",,,261,1.264368,,"Using campaign budget",0,31.88,Ongoing,-,-,-,330,96.606061,13,,2.452308,3.939394,15,4.545455,2.125333,7,4.554286
2026-03-27,2026-04-03,"Ad 04 | Reps Too Expensive",active,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_lead,323,1.281734,63.77,"Using campaign budget",0,63.77,Ongoing,-,-,-,414,154.033816,19,,3.356316,4.589372,23,5.555556,2.772609,14,4.555
2026-03-27,2026-04-03,"Ad 05 | Real Sales Teams",active,"7-day click, 1-day view or 1-day engaged view",,,2964,1.068151,,"Using campaign budget",0,124.81,Ongoing,-,-,-,3166,39.421984,41,,3.044146,1.295009,44,1.389766,2.836591,20,6.2405
