"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-15,2026-04-13,"Img 11 | Stop Being the Cheap Option",inactive,"7-day click, 1-day view or 1-day engaged view",,,9,1.111111,,"Using campaign budget",0,0.02,Ongoing,-,-,-,10,2,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 4 | Pipeline should not be a surprise",inactive,"7-day click, 1-day view or 1-day engaged view",,,37,1.135135,,"Using campaign budget",0,1.51,Ongoing,-,-,-,42,35.952381,2,,0.755,4.761905,2,4.761905,0.755,,
2026-03-15,2026-04-13,"Img 27 | Your Competitor Is Already in the Plans",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,68,1.161765,,"Using campaign budget",0,4.59,Ongoing,-,-,-,79,58.101266,1,,4.59,1.265823,1,1.265823,4.59,1,4.59
2026-03-15,2026-04-13,"Img 24 | Stop Buying Bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,8,1,,"Using campaign budget",0,0.35,Ongoing,-,-,-,8,43.75,1,,0.35,12.5,2,25,0.175,,
2026-03-15,2026-04-13,"Img 18 | This Is What You Get",inactive,"7-day click, 1-day view or 1-day engaged view",,,41,1,,"Using campaign budget",0,3.09,Ongoing,-,-,-,41,75.365854,,,,,1,2.439024,3.09,,
2026-03-15,2026-04-13,"Img 12 | Pipeline Panic?",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,302,1.139073,,"Using campaign budget",0,37.85,Ongoing,-,-,-,344,110.02907,18,,2.102778,5.232558,17,4.94186,2.226471,10,3.785
2026-03-15,2026-04-13,"Img 7 | Stop Wasting Rep Hours",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,220,1.113636,,"Using campaign budget",0,22.82,Ongoing,-,-,-,245,93.142857,14,,1.63,5.714286,15,6.122449,1.521333,8,2.8525
2026-03-15,2026-04-13,"Img 29 | Stop Walking Into Price Wars",inactive,"7-day click, 1-day view or 1-day engaged view",,,179,1,,"Using campaign budget",0,10.2,Ongoing,-,-,-,179,56.98324,2,,5.1,1.117318,2,1.117318,5.1,1,10.2
2026-03-15,2026-04-13,"Img 23 | Monday Morning: Pipeline Control",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,213,1.131455,,"Using campaign budget",0,25.33,Ongoing,-,-,-,241,105.103734,18,,1.407222,7.46888,19,7.883817,1.333158,5,5.066
2026-03-15,2026-04-13,"Img 17 | Trusted for 10+ Years",inactive,"7-day click, 1-day view or 1-day engaged view",,,264,1.045455,,"Using campaign budget",0,14.5,Ongoing,-,-,-,276,52.536232,5,,2.9,1.811594,6,2.173913,2.416667,1,14.5
