"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-10,2026-04-03,"Ad 04 | Reps Too Expensive",active,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_lead,323,1.281734,63.77,"Using campaign budget",0,63.77,Ongoing,-,-,-,414,154.033816,19,,3.356316,4.589372,23,5.555556,2.772609,14,4.555
2026-03-10,2026-04-03,"Ad 05 | Real Sales Teams",active,"7-day click, 1-day view or 1-day engaged view",,,2964,1.068151,,"Using campaign budget",0,124.81,Ongoing,-,-,-,3166,39.421984,41,,3.044146,1.295009,44,1.389766,2.836591,20,6.2405
2026-03-10,2026-04-03,"Img 19 | The Unfair Advantage",inactive,"7-day click, 1-day view or 1-day engaged view",,,16,1.0625,,"Using campaign budget",0,0.73,Ongoing,-,-,-,17,42.941176,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 6 | You're not losing bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,9,1,,"Using campaign budget",0,0.3,Ongoing,-,-,-,9,33.333333,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 19 | The Unfair Advantage",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 4 | Pipeline should not be a surprise",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,9,1,,"Using campaign budget",0,1.77,Ongoing,-,-,-,9,196.666667,1,,1.77,11.111111,1,11.111111,1.77,1,1.77
2026-03-10,2026-04-03,"Img 16 | Bid Invite Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 6 | You're not losing bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,8,1.25,,"Using campaign budget",0,0.63,Ongoing,-,-,-,10,63,1,,0.63,10,1,10,0.63,,
2026-03-10,2026-04-03,"Img 29 | Stop Walking Into Price Wars",not_delivering,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_initiate_checkout,702,1.31339,67.12,"Using campaign budget",0,67.12,Ongoing,-,-,-,922,72.798265,58,,1.157241,6.290672,61,6.616052,1.100328,18,3.728889
2026-03-10,2026-04-03,"Img 7 | Stop Wasting Rep Hours",inactive,"7-day click, 1-day view or 1-day engaged view",,,1,1,,"Using campaign budget",0,0.05,Ongoing,-,-,-,1,50,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 30 | Get Specified Earlier",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,82,1.219512,,"Using campaign budget",0,4.57,Ongoing,-,-,-,100,45.7,11,,0.415455,11,10,10,0.457,3,1.523333
2026-03-10,2026-04-03,"Img 1 | After Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,65,1.323077,,"Using campaign budget",0,8.85,Ongoing,-,-,-,86,102.906977,15,,0.59,17.44186,15,17.44186,0.59,2,4.425
2026-03-10,2026-04-03,"Img 2 | Specs Lock Fast",inactive,"7-day click, 1-day view or 1-day engaged view",,,15,1,,"Using campaign budget",0,1.44,Ongoing,-,-,-,15,96,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 10 | Commercial Projects Early",inactive,"7-day click, 1-day view or 1-day engaged view",,,173,1.156069,,"Using campaign budget",0,10.89,Ongoing,-,-,-,200,54.45,2,,5.445,1,4,2,2.7225,,
2026-03-10,2026-04-03,"Img 14 | The Spec Window Is Where You Win",inactive,"7-day click, 1-day view or 1-day engaged view",,,33,1,,"Using campaign budget",0,1.84,Ongoing,-,-,-,33,55.757576,,,,,0,0,0,,
